stn_code,stn_name,xcrd,ycrd
10,Hollum,172000.0,606000.0
11,West Terschelling,144000.0,598000.0
12,Schiermonnikoog,208000.0,610000.0
15,Oost-Vlieland,133000.0,590000.0
16,Petten,105000.0,531000.0
17,Den Burg,116000.0,563000.0
18,Nes (Ameland),182000.0,607000.0
19,De Cocksdorp,121000.0,575000.0
21,Callantsoog,109000.0,539000.0
22,De Koog,115000.0,568000.0
24,Vlieland,125000.0,585000.0
25,De Kooy,114000.0,546000.0
26,Formerum,149000.0,600000.0
61,Skrins,172000.0,570000.0
64,Sneek,172000.0,560000.0
65,Makkum,156000.0,563000.0
66,Harlingen,157000.0,577000.0
67,Dokkum,195000.0,593000.0
68,St Anna Parochie,173000.0,588000.0
69,Appelscha,219000.0,553000.0
70,Oudemirdum,163000.0,541000.0
73,Drachten,202000.0,570000.0
75,Oldeholtpade,200000.0,545000.0
76,Kornwerderzand,134000.0,595000.0
77,Kollum,205000.0,588000.0
78,Herbayum,163000.0,577000.0
79,Heeg,170000.0,554000.0
80,Stavoren,153000.0,544000.0
81,Joure,184000.0,553000.0
82,Gorredijk,198000.0,558000.0
84,Ezumazijl,206000.0,597000.0
85,Leeuwarden,178000.0,581000.0
86,Nijbeets,196000.0,563000.0
87,Bergumerdam,197000.0,577000.0
89,Akkrum,184000.0,563000.0
90,Eernewoude,192000.0,574000.0
91,Ternaard,194000.0,599000.0
134,Middelstum,237000.0,594000.0
135,Woltersum,245000.0,588000.0
136,Ezinge,226000.0,589000.0
139,Groningen,235000.0,578000.0
140,Assen,236000.0,558000.0
141,Delfzijl,258000.0,594000.0
142,Warffum,233000.0,602000.0
143,Finsterwolde,269000.0,581000.0
144,Ter Apel,268000.0,544000.0
145,Zoutkamp,215000.0,594000.0
147,Veendam,254000.0,568000.0
148,Sappemeer,245000.0,575000.0
150,Uithuizen,239000.0,603000.0
151,Roodeschool,245000.0,604000.0
152,Gieterveen,252000.0,561000.0
153,Winschoten,266000.0,573000.0
154,Eenrum,227000.0,598000.0
155,Eext,246000.0,558000.0
156,Vlagtwedde,270000.0,562000.0
158,Onnen,240000.0,573000.0
159,Nieuw Buinen,260000.0,554000.0
160,Veenhuizen Dr,222000.0,563000.0
161,Eelde,234000.0,571000.0
162,Niekerk,219000.0,582000.0
163,Roden,225000.0,575000.0
164,Zeerijp,246000.0,597000.0
166,Marum,214000.0,573000.0
171,Anjum,204000.0,600000.0
172,Nieuwolda,263000.0,586000.0
217,Heiloo,111000.0,512000.0
221,Enkhuizen,148000.0,524000.0
222,Hoorn Nh,130000.0,518000.0
223,Schellingwoude,128000.0,489000.0
224,Edam,132000.0,502000.0
225,Overveen,101000.0,490000.0
226,Wijk aan Zee,101000.0,499000.0
227,Anna Paulowna,118000.0,541000.0
228,Schagen,116000.0,532000.0
229,Zandvoort,95000.0,485000.0
230,Zaandijk,116000.0,499000.0
233,Zaandam Hembrug,115000.0,494000.0
234,Bergen Nh,108000.0,522000.0
235,Castricum,105000.0,507000.0
236,Medemblik,136000.0,530000.0
238,De Haukes,125000.0,543000.0
239,Den Oever,131000.0,549000.0
240,Kreileroord,135000.0,542000.0
242,Purmerend,124000.0,502000.0
249,Hoogkarspel,175000.0,464000.0
251,West Beemster,122000.0,510000.0
252,Kolhorn,122000.0,534000.0
255,Obdam (Nieuw),120000.0,521000.0
256,Marken (Nieuw),137000.0,496000.0
257,Hoogwoud,126000.0,526000.0
263,Assendelft,110000.0,498000.0
298,Steenwijksmoer,243000.0,522000.0
317,Marknesse,187000.0,523000.0
323,Laaghalen,232000.0,549000.0
326,Frederiksoord,208000.0,541000.0
327,Dwingelo,224000.0,538000.0
328,Heerde,199000.0,490000.0
329,Wapenveld,202000.0,493000.0
330,Zwolle,206000.0,505000.0
331,Denekamp,267000.0,489000.0
332,Hoogeveen,228000.0,525000.0
333,Emmen,255000.0,534000.0
335,IJsselmuiden,193000.0,510000.0
336,Oldebroek,191000.0,494000.0
337,Schoonlo,244000.0,547000.0
338,Giethoorn,201000.0,526000.0
339,Rheezerveen,235000.0,509000.0
340,Heino,214000.0,495000.0
341,Zweelo,245000.0,534000.0
342,Vilsteren,221000.0,503000.0
343,Schoonebeek,254000.0,520000.0
344,Tollebeek,171000.0,520000.0
345,Vroomshoop,235000.0,499000.0
348,Emmeloord,181000.0,524000.0
349,Klazienaveen,264000.0,525000.0
350,Elburg,185000.0,495000.0
352,Nagele,178000.0,515000.0
353,Blokzijl,193000.0,527000.0
354,Dedemsvaart,228000.0,513000.0
356,Kuinre,186000.0,533000.0
358,Rouveen,209000.0,514000.0
359,Lemmer Gemaal Buma,177000.0,539000.0
361,Tubbergen,250000.0,491000.0
362,Ruinerwold,213000.0,526000.0
364,Dronten,187000.0,506000.0
365,Swifterbant,172000.0,507000.0
366,Biddinghuizen,175000.0,495000.0
369,Lelystad Eendenweg,164000.0,496000.0
371,Zeewolde,154000.0,489000.0
372,Zeewolde Schillinkweg,157000.0,479000.0
426,Zoetermeer,96000.0,453000.0
434,Groot Ammers,117000.0,438000.0
435,Heemstede,105000.0,483000.0
437,Lijnden Nh,112000.0,485000.0
438,Hoofddorp,106000.0,478000.0
439,Roelofarendsveen,103000.0,470000.0
442,Boskoop,107000.0,455000.0
443,Gouda,110000.0,447000.0
444,Katwijk aan den Rijn,88000.0,467000.0
446,Goedereede,57000.0,426000.0
447,Den Bommel,80000.0,415000.0
449,Delft,85000.0,447000.0
450,Numansdorp,90000.0,418000.0
453,Bergschenhoek,94000.0,444000.0
454,Lisse,96000.0,473000.0
455,Strijen,99000.0,420000.0
456,Oostvoorne,66000.0,436000.0
458,Aalsmeer,113000.0,475000.0
461,Barendrecht,96000.0,428000.0
462,Dirksland,65000.0,419000.0
463,Nieuw Helvoet,68000.0,428000.0
464,Brielle,70000.0,435000.0
465,Oud Alblas,107000.0,430000.0
467,Poortugaal,86000.0,430000.0
470,Zegveld,118000.0,459000.0
471,Ouddorp,51000.0,426000.0
474,Valkenburg,90000.0,465000.0
477,Hoek van Holland,70000.0,445000.0
479,Maasland,77000.0,442000.0
480,Honselersdijk,77000.0,446000.0
481,Voorschoten,89000.0,461000.0
482,Hendrik Ido Ambacht,103000.0,427000.0
483,Krimpen aan de Lek,102000.0,434000.0
509,Doorn,152000.0,448000.0
510,Vaassen,195000.0,477000.0
514,Epe,196000.0,484000.0
516,Harderwijk,168000.0,488000.0
523,Wijk bij Duurstede,149000.0,444000.0
539,Nijmegen,190000.0,429000.0
541,Arnhem,192000.0,445000.0
542,Putten Gld,170000.0,472000.0
543,Apeldoorn,194000.0,471000.0
546,Woudenberg,160000.0,455000.0
547,Nijkerk,162000.0,472000.0
548,Loenen aan de Vecht,129000.0,467000.0
549,Culemborg,144000.0,438000.0
550,De Bilt,141000.0,456000.0
557,Eerbeek,202000.0,458000.0
558,Lunteren,170000.0,455000.0
559,Vleuten,129000.0,456000.0
560,Amerongen,160000.0,445000.0
561,Benschop,124000.0,446000.0
562,Tiel,159000.0,438000.0
563,Weesp,131000.0,479000.0
564,Hulshorst,177000.0,485000.0
565,Voorthuizen,170000.0,466000.0
567,Kootwijk Radio,185000.0,465000.0
569,Heumen,186000.0,420000.0
570,Elspeet,182000.0,479000.0
571,Harskamp,178000.0,463000.0
572,Abcoude,127000.0,475000.0
573,Beekbergen,194000.0,464000.0
576,Spakenburg,154000.0,473000.0
578,Oosterbeek,185000.0,447000.0
579,Veenendaal,169000.0,449000.0
580,Barneveld,167000.0,461000.0
582,Hamersveld,159000.0,462000.0
583,Wageningen Pd,173000.0,445000.0
584,Geldermalsen,147000.0,432000.0
588,Duiven,199000.0,441000.0
589,Zetten,177000.0,439000.0
591,Deelen,190000.0,454000.0
593,Laren,144000.0,473000.0
595,Soest,151000.0,464000.0
596,Eemnes,147000.0,476000.0
645,Hengelo,218000.0,454000.0
663,Lochem,223000.0,463000.0
664,Almelo,242000.0,485000.0
665,Enschede,260000.0,468000.0
666,Winterswijk Sibinkweg,244000.0,442000.0
667,Doetinchem,217000.0,445000.0
668,Hengelo,249000.0,476000.0
669,Borculo,233000.0,457000.0
670,Twenthe,259000.0,475000.0
672,Hellendoorn,227000.0,489000.0
673,Gendringen,222000.0,431000.0
674,Rekken,247000.0,457000.0
675,Weerselo,256000.0,486000.0
678,Almen,218000.0,463000.0
679,Herwen,204000.0,433000.0
680,Aalten,236000.0,437000.0
681,Lettele,215000.0,476000.0
682,Markelo,230000.0,473000.0
683,Lichtenvoorde,236000.0,446000.0
684,Lievelde,241000.0,447000.0
686,Woold,248000.0,438000.0
687,Holten,228000.0,481000.0
688,Hupsel,241000.0,454000.0
689,Deventer,212000.0,475000.0
705,Breskens,27000.0,380000.0
733,Ritthem,32000.0,387000.0
735,Kapelle,55000.0,389000.0
736,Brouwershaven,51000.0,417000.0
737,Kerkwerve,49000.0,411000.0
738,Biervliet,37000.0,373000.0
740,St Kruis,23000.0,366000.0
741,Stavenisse,60000.0,401000.0
742,Terneuzen,49000.0,369000.0
743,Noordgouwe,57000.0,413000.0
744,Anna Jacoba Polder,68000.0,406000.0
746,Westkapelle,20000.0,395000.0
747,Krabbendijke,65000.0,384000.0
749,Wilhelminadorp,51000.0,394000.0
750,Rilland,71000.0,382000.0
751,Vrouwenpolder,30000.0,401000.0
752,Haamstede,39000.0,411000.0
754,Ovezande,46000.0,383000.0
755,Kortgene,46000.0,398000.0
756,Middelburg,30000.0,389000.0
757,Tholen,74000.0,394000.0
758,Wolphaartsdijk,42000.0,395000.0
760,'s Heerenhoek,43000.0,388000.0
761,Philippine,41000.0,368000.0
762,Schoondijke,27000.0,376000.0
763,Cadzand,18000.0,376000.0
764,Kloosterzande,60000.0,378000.0
767,Kapellebrug,61000.0,364000.0
770,Westdorpe,48000.0,360000.0
827,Tilburg,137000.0,397000.0
828,Oudenbosch,95000.0,399000.0
829,Zundert,105000.0,387000.0
830,Herwijnen,138000.0,426000.0
831,Esbeek,137000.0,385000.0
832,Bergen op Zoom,76000.0,391000.0
833,Oosterhout,119000.0,406000.0
834,Chaam,119000.0,391000.0
835,Andel,132000.0,422000.0
836,Gorinchem,127000.0,428000.0
837,Steenbergen Nb,83000.0,401000.0
838,Ginneken,110000.0,396000.0
839,Hoogerheide,79000.0,383000.0
840,Nieuwendijk Nb,123000.0,420000.0
841,Klundert,95000.0,409000.0
843,Gilze-Rijen,123000.0,396000.0
844,Capelle Nb,127000.0,410000.0
883,Sevenum,198000.0,378000.0
892,Giersbergen,139000.0,408000.0
896,Helmond,170000.0,386000.0
897,Venlo,211000.0,372000.0
899,Gemert,175000.0,396000.0
901,Nuland,158000.0,415000.0
903,Megen,167000.0,426000.0
904,Someren,176000.0,379000.0
905,St Anthonis,192000.0,404000.0
906,Oirschot,150000.0,392000.0
907,Boxtel,151000.0,399000.0
908,Deurne,182000.0,384000.0
909,Mill,183000.0,410000.0
910,Ammerzoden,143000.0,417000.0
911,Dinther,163000.0,405000.0
912,Leende,165000.0,371000.0
913,IJsselsteyn L,190000.0,389000.0
914,Oss,165000.0,419000.0
915,Eersel,146000.0,375000.0
917,Zaltbommel,145000.0,425000.0
918,Maarheeze,170000.0,369000.0
919,Eindhoven Vliegbasis,152000.0,385000.0
920,Volkel,176000.0,406000.0
921,Venray,197000.0,392000.0
922,Siebengewald,204000.0,407000.0
923,Arcen,211000.0,389000.0
926,Waalre,158000.0,375000.0
961,Roermond,195000.0,355000.0
962,Ubachsberg,192000.0,318000.0
963,Valkenburg L,187000.0,318000.0
964,Weert,177000.0,365000.0
965,Schaesberg,199000.0,323000.0
966,Schinnen,189000.0,327000.0
967,Heibloem,190000.0,368000.0
968,Vaals,197000.0,310000.0
969,Stein,179000.0,330000.0
970,Stramproy,178000.0,355000.0
971,Noorbeek,185000.0,309000.0
973,Beek,185000.0,326000.0
974,Buchten,184000.0,339000.0
979,Echt,192000.0,344000.0
980,Epen (Nieuw) L,192000.0,308000.0
981,Oost Maarland,178000.0,312000.0
982,Schinveld,196000.0,332000.0
983,Kessel-Eik (N),200000.0,367000.0
